Audio,Label
"[ 1.7950162e-09 -5.9056071e-10  2.8569722e-10 ...  1.1427827e-02
  7.4127172e-03  6.4067694e-04]",dog_bark
"[-0.05845103  0.02991497  0.10719723 ...  0.00138345 -0.00081401
 -0.00301551]",dog_bark
"[-0.00159803 -0.00199159 -0.00072438 ...  0.11143517  0.08448306
  0.030042  ]",dog_bark
"[-0.0022489  -0.00278155  0.00058331 ...  0.01653619  0.01982501
  0.01943095]",dog_bark
"[-0.00077343 -0.01322604 -0.01579147 ... -0.01865518  0.00047866
  0.01032831]",dog_bark
"[-0.10638597 -0.18401194 -0.1638389  ...  0.10005891  0.13090768
  0.16896556]",engine_idling
"[-0.23148656 -0.3918737  -0.32680565 ...  0.35020545  0.34591323
  0.3927296 ]",engine_idling
"[-0.09842595 -0.09495086  0.04975699 ... -0.42430058 -0.39799705
 -0.26203665]",siren
"[ 0.07529052 -0.02277892 -0.35683596 ...  0.05314163  0.284123
  0.43213597]",siren
"[ 0.09897569  0.16217084  0.0041843  ... -0.09822518 -0.12473147
 -0.17421235]",siren
"[-0.2011645  -0.22950312 -0.085151   ...  0.28695422  0.318743
  0.32411516]",siren
"[-0.1891486  -0.39407355 -0.41798246 ... -0.09528174 -0.20222934
 -0.2688044 ]",siren
"[ 0.15263356  0.1258061  -0.06136078 ... -0.17992742 -0.15930246
 -0.09713795]",siren
"[-0.2429151  -0.3729483  -0.24479169 ... -0.2755006  -0.02082304
  0.3291979 ]",siren
[0.01751258 0.107186   0.17776935 ... 0.50104576 0.3734674  0.21400434],siren
"[-0.01644147  0.10468485  0.23467052 ...  0.01959649  0.04751176
  0.0771555 ]",siren
"[ 0.18491104  0.20977016 -0.00450784 ...  0.19348936  0.27560118
  0.32694727]",siren
"[ 0.00487346 -0.05837309 -0.12759402 ...  0.01751133  0.04840656
  0.04729294]",siren
"[ 0.17900452 -0.00738058 -0.45803753 ... -0.08656249 -0.12765688
 -0.11823554]",siren
"[-0.0252508  -0.09103125 -0.01852936 ...  0.06710501  0.02670309
 -0.02177112]",siren
"[-0.07224531 -0.05782495  0.0214256  ...  0.11954398  0.11659542
  0.25103152]",siren
"[-0.02376104 -0.0939596  -0.10340559 ... -0.06333018  0.00461932
  0.08262751]",siren
"[ 0.28591472  0.39046904  0.09644432 ... -0.49421054 -0.44308367
 -0.3764843 ]",siren
[0.00750072 0.01339363 0.01149611 ... 0.30718842 0.3027993  0.3307127 ],drilling
"[-0.00051453 -0.01012649  0.3050751  ... -0.44565418 -0.0505733
 -0.00777263]",drilling
"[-0.07976604  0.00883874  0.00283236 ... -0.00893111  0.07883818
  0.00739796]",drilling
"[-0.29680791  0.02119318  0.29663587 ... -0.05636377 -0.06663979
 -0.00161631]",drilling
"[ 0.24604124  0.6634562   0.17086689 ... -0.00131881  0.20659155
  0.16933529]",drilling
"[-0.08514692 -0.14937246  0.17902248 ... -0.01488924  0.15068749
  0.08243442]",drilling
"[-0.01786745  0.04495697  0.10829097 ...  0.29588714  0.16100909
 -0.21836081]",drilling
"[-0.17945716 -0.25133026  0.05451731 ... -0.10283857  0.18339448
  0.09048052]",drilling
"[-0.1030113  -0.1360082  -0.3767904  ... -0.07318923  0.08920581
  0.33047232]",drilling
"[-0.04654773  0.10672546  0.03113797 ...  0.24182263  0.20136902
 -0.20305066]",drilling
"[ 0.22740275  0.335534    0.00835583 ...  0.18580367 -0.10365486
 -0.09733521]",drilling
"[-0.10314888 -0.41347793  0.41949293 ... -0.30693787  0.07833771
  0.10971931]",drilling
"[ 0.00423216 -0.0108436  -0.03837873 ... -0.10659725 -0.07786442
 -0.0723478 ]",engine_idling
"[-0.01194617 -0.04195387 -0.04412707 ... -0.15609743 -0.18892868
 -0.27248913]",engine_idling
[0.0148626  0.02803005 0.04980014 ... 0.11584576 0.11885643 0.14265938],engine_idling
"[-0.18976393 -0.32648793 -0.34497103 ... -0.01516207 -0.05584463
 -0.1029909 ]",engine_idling
[0.09283192 0.14757636 0.1299742  ... 0.09927064 0.06713867 0.03702535],engine_idling
"[-0.06202673 -0.06536007 -0.05356078 ...  0.36972705  0.3379914
  0.36315143]",engine_idling
"[ 0.00491794 -0.01043915 -0.04647556 ... -0.27949384 -0.25520998
 -0.26257265]",engine_idling
"[ 0.20125139  0.3029687   0.21473955 ... -0.01027631  0.00549612
  0.00273335]",engine_idling
"[-0.13412902 -0.19833525 -0.14913765 ... -0.63123333 -0.60202307
 -0.7071902 ]",engine_idling
"[-0.03510509 -0.10372896 -0.12277206 ... -0.46388727 -0.5335198
 -0.68368   ]",engine_idling
"[-0.40792125 -0.66746664 -0.55354786 ...  0.19412002  0.19777411
  0.13389346]",engine_idling
"[-0.448566   -0.7505089  -0.6745007  ...  0.30398384  0.28349057
  0.3035661 ]",engine_idling
"[-0.04841134 -0.09873215 -0.11767058 ... -0.07030863 -0.05823878
 -0.04938387]",engine_idling
"[-0.00360437 -0.11030368 -0.16327566 ... -0.07246554 -0.11952198
 -0.18746209]",engine_idling
"[-0.20932083 -0.3636198  -0.36303014 ...  0.12255783  0.11272348
  0.13155034]",engine_idling
"[-0.0212068  -0.02142976  0.01619529 ...  0.32030007  0.29298326
  0.30722132]",engine_idling
[0.10329778 0.18495114 0.17938603 ... 0.228244   0.1944234  0.17181371],engine_idling
"[ 0.21656911  0.35544574  0.2966245  ... -0.2266274  -0.2370332
 -0.28750405]",engine_idling
"[ 0.08382527  0.10604948  0.05153345 ... -0.5875981  -0.5627421
 -0.61964744]",engine_idling
"[-0.19296804 -0.34420562 -0.3445064  ...  0.04228123  0.03069774
  0.03322151]",engine_idling
"[-0.36995608 -0.5980407  -0.4949189  ... -0.25540987 -0.28358003
 -0.3262533 ]",engine_idling
"[-0.11623845 -0.20931347 -0.21229042 ...  0.4096619   0.45440465
  0.48727667]",dog_bark
[0.32989874 0.5304542  0.4646031  ... 0.13626063 0.13001616 0.11451902],dog_bark
"[-0.44269657 -0.7542216  -0.66498774 ... -0.24684861 -0.2599904
 -0.25644234]",dog_bark
"[ 0.01636613  0.01338791 -0.00857764 ... -0.10092347 -0.09093799
 -0.07730931]",dog_bark
"[-0.10913828 -0.20771065 -0.14500774 ... -0.4185337  -0.40401042
 -0.39647356]",children_playing
"[ 0.00290545  0.06077493  0.03652571 ...  0.04180149 -0.09643677
  0.04639656]",children_playing
"[-0.12420408 -0.15794833  0.03414087 ... -0.01198964 -0.02520545
 -0.03028873]",children_playing
"[ 0.0510333   0.12838432  0.10792604 ...  0.01691647  0.07453297
 -0.00452329]",children_playing
"[ 0.00085817  0.06218331  0.02586772 ... -0.18253125 -0.15875724
 -0.17523399]",children_playing
"[ 0.06135233  0.12608604  0.0331762  ...  0.03798916 -0.05461507
 -0.02175547]",children_playing
[0.0187035  0.03476787 0.00095963 ... 0.31958872 0.2941368  0.1589132 ],children_playing
"[ 0.03762287  0.14016342  0.1984294  ... -0.03078884 -0.0338975
 -0.04189816]",dog_bark
"[ 0.0531658   0.13644874  0.17644836 ... -0.14107054 -0.1362757
 -0.12992392]",dog_bark
"[-0.01101175 -0.06213883 -0.13215199 ... -0.01012084 -0.03727182
 -0.03293418]",dog_bark
"[ 0.05715742  0.12016708  0.11011846 ... -0.18365839 -0.15231846
 -0.10849154]",dog_bark
"[-3.3688348e-06 -6.9144495e-05 -2.0402019e-04 ...  3.8698250e-01
  4.0780285e-01  5.1863092e-01]",engine_idling
"[-0.04817887 -0.05329391 -0.01220309 ...  0.17861693  0.2150626
  0.28864172]",engine_idling
"[ 0.3278143   0.6489897   0.62498695 ... -0.77476907 -0.7681404
 -0.91943973]",engine_idling
"[ 0.19170623  0.36084893  0.3556919  ... -0.13292077 -0.137443
 -0.18973601]",engine_idling
"[-0.5330617  -0.9917139  -0.89584845 ... -0.3131365  -0.29955122
 -0.3999639 ]",engine_idling
"[-0.12786649 -0.25809512 -0.2582757  ... -0.4367378  -0.40966886
 -0.4570091 ]",engine_idling
"[-0.24395971 -0.49257794 -0.45217517 ... -0.2897443  -0.23757948
 -0.20923285]",engine_idling
"[-0.26061773 -0.4799128  -0.4011406  ...  0.00052546 -0.04640353
 -0.1133825 ]",engine_idling
"[-0.13572189 -0.23106468 -0.21081863 ... -0.03573214 -0.03271532
 -0.03936183]",dog_bark
"[-0.0729057  -0.11844587 -0.09632814 ...  0.07647109  0.10481417
  0.13156256]",dog_bark
[0.00625056 0.01080969 0.01126117 ... 0.01240763 0.01523196 0.01658307],dog_bark
"[ 0.00242663 -0.00803986  0.01967513 ... -0.27583766  0.04604815
  0.02603551]",drilling
"[4.2596821e-06 4.8292759e-06 1.7966382e-05 ... 4.5578752e-02 3.4152053e-02
 2.6332559e-02]",dog_bark
"[ 0.21958268  0.34199882  0.24362639 ... -0.18773617 -0.12082651
 -0.07640261]",siren
"[ 0.00102238 -0.14408271 -0.28415528 ...  0.08123413  0.03511123
 -0.08740707]",siren
"[-0.00104854 -0.00989128  0.02705169 ... -0.37626708 -0.3068107
 -0.29896417]",siren
"[ 0.02392517  0.12731723  0.12136219 ... -0.31493434 -0.2725884
 -0.32052958]",siren
"[-0.14335    -0.22101294 -0.12189502 ...  0.25943     0.18455341
  0.04578986]",siren
"[-0.04494223 -0.08525414 -0.04661132 ...  0.08799171  0.01777757
 -0.0060085 ]",siren
"[-0.01025791 -0.02338357 -0.1321723  ...  0.12442343  0.12885128
  0.09622274]",siren
"[ 0.01766138 -0.00444947 -0.00465278 ...  0.0550498   0.17611285
  0.29987255]",siren
[0.08615516 0.08272813 0.065177   ... 0.15529548 0.2693141  0.32438853],siren
"[ 0.12945361  0.04827911 -0.09355331 ...  0.07976068  0.0754488
  0.0219351 ]",siren
"[ 0.09823718  0.13689807  0.06228963 ... -0.08773743 -0.0973626
 -0.10102721]",siren
"[-0.03927856 -0.04032306  0.01255959 ... -0.2898098  -0.26379833
 -0.2297306 ]",siren
"[-0.08036876 -0.16961376 -0.24134697 ... -0.63603586 -0.6970029
 -0.74772376]",siren
"[-0.0355281  -0.0521455  -0.0259134  ...  0.09106505  0.06937861
  0.13202094]",siren
"[-0.20359601 -0.2896016  -0.20713592 ... -0.071594   -0.10250255
 -0.21385336]",siren
[0.18984425 0.34341943 0.270728   ... 0.16351719 0.15270291 0.20445621],siren
"[-0.2752128  -0.4300938  -0.22803232 ...  0.17713322  0.20440291
  0.17286725]",siren
[0.15755469 0.2229952  0.11502174 ... 0.07391696 0.07396945 0.0369621 ],siren
"[ 0.04099316  0.01172953 -0.02186131 ... -0.3088941  -0.28600028
 -0.12347664]",siren
"[-0.05728248 -0.07693867 -0.00713832 ...  0.34110412  0.23213392
  0.16717863]",siren
"[-0.09064841 -0.06745639  0.04960667 ...  0.02300669  0.02990407
  0.0064702 ]",siren
"[ 0.01731482 -0.04055915 -0.14027359 ...  0.10266741  0.08326867
  0.00074531]",siren
"[ 0.0794724   0.2614464   0.22806108 ... -0.05603051 -0.05925762
 -0.06900935]",siren
"[-0.0048967   0.10182713  0.14142288 ... -0.0140707   0.02445518
  0.06074775]",siren
"[-0.12978473 -0.18846779 -0.13158536 ...  0.05762957  0.01820419
 -0.08261678]",siren
"[ 0.20368256  0.22918269 -0.00591687 ... -0.16712965 -0.15192974
 -0.11122724]",siren
[0.09753837 0.21991141 0.20953913 ... 0.05386256 0.0671241  0.00922075],siren
"[-0.04096574 -0.06291109 -0.05940766 ... -0.5381483  -0.511709
 -0.53502446]",siren
"[-0.00622466 -0.04584164 -0.07699814 ... -0.30202124 -0.3549688
 -0.3973453 ]",siren
"[-0.47203973 -0.8218524  -0.77933615 ... -0.07238416 -0.12942182
 -0.20996884]",siren
[0.00864465 0.04349781 0.09768277 ... 0.14651923 0.14141363 0.07695033],air_conditioner
"[ 0.13432795  0.2053479   0.1546221  ...  0.19640583  0.13468179
 -0.04085826]",car_horn
"[-0.12095723 -0.2445082  -0.17623012 ... -0.21133842 -0.08366784
  0.09336016]",car_horn
"[ 0.13836081  0.10388467 -0.26334456 ... -0.00264625  0.15840809
  0.05101944]",car_horn
"[-0.3325787  -0.4492971  -0.17301683 ...  0.3573035   0.3741481
  0.2736719 ]",car_horn
"[-0.05226286  0.11676171  0.24211697 ... -0.02337906  0.16376771
  0.167101  ]",car_horn
"[-0.19445236 -0.21873678 -0.08660274 ...  0.07808445  0.17279649
  0.36017275]",car_horn
"[ 0.17158827  0.13833018 -0.07035133 ...  0.07404631  0.04462597
  0.00420052]",car_horn
"[-0.17494239 -0.2599658  -0.18404838 ...  0.12707959  0.16988334
  0.23586813]",street_music
"[-0.01793597 -0.0213888  -0.01137824 ...  0.01983784 -0.00176776
 -0.00664103]",street_music
"[ 0.153708    0.2700973   0.22549535 ... -0.19050452 -0.22926211
 -0.2605937 ]",street_music
"[ 0.09774081  0.15404864  0.1266196  ... -0.06777375 -0.09963799
 -0.12688915]",street_music
"[ 0.20647582  0.31425777  0.19408256 ... -0.01122086 -0.02051732
 -0.02022   ]",street_music
"[-0.01413667  0.00170775  0.01739479 ... -0.13727733 -0.08355802
 -0.04569656]",street_music
"[-0.35631445 -0.6271885  -0.56233764 ...  0.1712451   0.14643534
  0.11332969]",engine_idling
"[ 0.07065818  0.25799823  0.26825398 ...  0.12242946 -0.01349092
  0.3464016 ]",engine_idling
"[ 0.06575383  0.11669044  0.06544713 ... -0.19450101 -0.33049062
 -0.42272326]",engine_idling
"[ 0.34961882  0.3559422  -0.35745674 ...  0.15855464  0.0943098
  0.14106327]",engine_idling
"[ 5.7215231e-05  2.4699888e-04  1.4713494e-03 ... -8.5562179e-03
  8.3067991e-02  1.9899344e-01]",car_horn
[0.14114462 0.22915441 0.11470855 ... 0.16932434 0.21657145 0.24155618],gun_shot
"[ 0.38421413  0.8310625   0.7393793  ... -0.02443952 -0.04360551
 -0.05094678]",gun_shot
[0.02215349 0.04601781 0.06808618 ... 0.15589736 0.19055167 0.21843335],gun_shot
"[-0.0344934  -0.08481698 -0.11438911 ...  0.08462171  0.18571065
  0.19347888]",gun_shot
"[ 0.23280351  0.38836363  0.3961625  ... -0.10367732 -0.1010277
 -0.08509702]",air_conditioner
"[-0.16945927 -0.31059706 -0.28266427 ... -0.10234831 -0.06856599
 -0.07936375]",air_conditioner
"[-0.06389319 -0.10546955 -0.0746057  ... -0.09639978 -0.05518642
 -0.0638384 ]",air_conditioner
[0.33879793 0.54729176 0.48172194 ... 0.42409363 0.3713045  0.4256971 ],air_conditioner
"[-0.02027436 -0.04327014 -0.04043235 ...  0.13720259  0.14836828
  0.11938895]",air_conditioner
[0.04236916 0.06591674 0.04257965 ... 0.1977758  0.19265373 0.2383907 ],air_conditioner
"[-0.08300781 -0.11806211 -0.09975924 ...  0.25063917  0.2420807
  0.332592  ]",air_conditioner
"[-0.0448027  -0.05236278 -0.03653318 ... -0.08681452 -0.0504146
 -0.08920801]",air_conditioner
"[ 0.3448414   0.55841804  0.49231675 ... -0.10941641 -0.09649538
 -0.10531368]",air_conditioner
"[-0.07638686 -0.16792871 -0.1537393  ... -0.02992216 -0.02699977
 -0.03496036]",air_conditioner
"[-0.31678745 -0.5290369  -0.48868895 ... -0.06124371 -0.04082996
 -0.05809508]",air_conditioner
"[ 0.01190654 -0.02463936  0.07930341 ...  0.02869599  0.02736315
 -0.00521174]",air_conditioner
"[ 0.25050655  0.41239834  0.3693275  ... -0.39099082 -0.3808575
 -0.48581043]",air_conditioner
"[ 0.2762721   0.47289065  0.45052627 ... -0.09902819 -0.10642043
 -0.11667681]",air_conditioner
"[ 0.24340414  0.44885033  0.400059   ... -0.11125558 -0.13019958
 -0.13393933]",air_conditioner
"[-0.17713568 -0.2738565  -0.22601017 ...  0.59142023  0.53036016
  0.6298816 ]",air_conditioner
[0.5734418  0.849888   0.78166074 ... 0.5820829  0.52594286 0.5637997 ],air_conditioner
"[-0.04765209 -0.02794443 -0.05864568 ...  0.20803382  0.22347239
  0.26949468]",air_conditioner
[0.05071685 0.04656428 0.04332015 ... 0.28841424 0.27196398 0.31408697],air_conditioner
"[ 0.00357286  0.02550441  0.03106865 ... -0.21082297 -0.19393481
 -0.24462797]",air_conditioner
"[ 0.43163776  0.74543685  0.6874468  ... -0.38099143 -0.36875096
 -0.38982213]",air_conditioner
"[ 0.2303399   0.39677805  0.35416472 ... -0.19098106 -0.22333968
 -0.1908204 ]",air_conditioner
"[-0.03624595 -0.09101239 -0.06231441 ...  0.04203235  0.02378973
  0.0518146 ]",air_conditioner
[0.22570994 0.43460867 0.37484005 ... 0.05683723 0.0514612  0.08036064],air_conditioner
"[-0.34841964 -0.5612735  -0.49407634 ...  0.15016249  0.17240639
  0.1968507 ]",air_conditioner
"[ 1.2519016e-04  1.7917156e-04  1.8724825e-04 ... -7.4690354e-01
 -6.7129940e-01 -5.3054804e-01]",dog_bark
"[-7.9983598e-10  2.9991540e-10 -2.1479786e-10 ... -5.3985380e-02
 -3.6021125e-02 -2.5650758e-02]",dog_bark
"[ 0.00069648  0.00095492  0.00089621 ... -0.16336416 -0.11194572
 -0.05931336]",dog_bark
"[-0.00420059  0.03256669 -0.02594204 ... -0.06185818  0.06493615
  0.03484401]",street_music
"[-0.18607108  0.14598176  0.512294   ... -0.13129205 -0.15610619
 -0.27151653]",street_music
"[-0.04204953 -0.03141875  0.09664476 ... -0.1898411  -0.12498739
 -0.20263547]",street_music
"[ 0.07123557  0.12732044  0.12935187 ... -0.40425658 -0.40253508
 -0.47050267]",air_conditioner
"[ 0.32315964  0.560603    0.5266396  ... -0.19112268 -0.1890838
 -0.21975428]",air_conditioner
"[-0.36232728 -0.6177082  -0.52681196 ... -0.3078372  -0.29673097
 -0.32893166]",air_conditioner
"[-0.11928652 -0.21260406 -0.19733238 ... -0.24778028 -0.25836673
 -0.29169023]",air_conditioner
[0.14938302 0.2148157  0.12991072 ... 0.26022962 0.2321023  0.25564486],air_conditioner
"[-0.2508643  -0.43084472 -0.39940524 ... -0.20332193 -0.20035231
 -0.20514075]",air_conditioner
"[-0.0206263  -0.04014884 -0.03902523 ...  0.2174014   0.19803585
  0.22487535]",air_conditioner
"[ 0.09391418  0.17609642  0.15234077 ... -0.00633644  0.00593333
  0.00612085]",air_conditioner
[0.22116433 0.36401606 0.3157183  ... 0.12629244 0.11036822 0.15016192],air_conditioner
[0.3418259  0.57660985 0.5263443  ... 0.66681576 0.61835974 0.6874093 ],air_conditioner
[0.06142269 0.10266013 0.08946552 ... 0.39562038 0.37229544 0.39320233],air_conditioner
"[ 0.07977231  0.12141961  0.08328666 ... -0.22368768 -0.19074033
 -0.20517318]",air_conditioner
[0.26074272 0.43134928 0.37378216 ... 0.27636838 0.25384724 0.31546175],air_conditioner
"[-0.13367175 -0.24963725 -0.28783393 ...  0.00870719  0.04209868
  0.07705431]",air_conditioner
"[ 0.05186098  0.08653715  0.07603443 ... -0.1870406  -0.19788656
 -0.23364362]",air_conditioner
"[-0.1382536  -0.22464748 -0.19538938 ...  0.24555725  0.22795226
  0.21070085]",air_conditioner
"[-0.13801296 -0.23659243 -0.20934501 ... -0.3866169  -0.35414273
 -0.3818756 ]",air_conditioner
[0.04432679 0.04747412 0.02797994 ... 0.05699879 0.07876877 0.05930183],air_conditioner
[0.01186211 0.00380543 0.01720366 ... 0.45759445 0.43986624 0.47791663],air_conditioner
"[-0.003709   -0.03079076 -0.05247531 ...  0.62146884  0.60053825
  0.67960495]",air_conditioner
"[ 0.39308476  0.63781923  0.546479   ... -0.12257827 -0.14447801
 -0.1718009 ]",air_conditioner
"[-0.08319522 -0.14152105 -0.11391887 ... -0.57543826 -0.5531019
 -0.598676  ]",air_conditioner
